planner,scenario,query_id,run,seed,success,planning_time_s,solve_time_s,error,num_waypoints,joint_path_length,cartesian_path_length,smoothness_geom,smoothness_jerk,clearance,path_valid
moveit:RRTConnect,empty,4,0,42,True,0.013702947995625436,0.013702947995625436,,18,4.517807450008019,1.1553087397443025,8.621688163950529e-13,919.4752943578761,inf,True
moveit:RRTConnect,empty,4,1,42,True,0.030298301004222594,0.030298301004222594,,18,4.517807450008018,1.1553087397443025,3.1337993857026487e-13,919.4752943578754,inf,True
moveit:RRTConnect,empty,4,2,42,True,0.03371617599623278,0.03371617599623278,,18,4.517807450008019,1.1553087397443025,2.705747510973792e-13,919.4752943578746,inf,True
moveit:RRTConnect,empty,5,0,42,True,0.005641211988404393,0.005641211988404393,,17,3.710122612512576,1.6723600017465006,1.166551234325926e-13,935.4491432878946,inf,True
moveit:RRTConnect,empty,5,1,42,True,0.017468947000452317,0.017468947000452317,,17,3.710122612512576,1.6723600017465003,1.3716920937872002e-13,935.449143287895,inf,True
moveit:RRTConnect,empty,5,2,42,True,0.016062010996392928,0.016062010996392928,,17,3.710122612512576,1.6723600017465006,7.125636380845039e-13,935.4491432878785,inf,True
moveit:RRTConnect,empty,6,0,42,True,0.018405562994303182,0.018405562994303182,,24,6.142597354812802,0.9709349823903072,2.702480514563132e-09,1247.7238950967037,inf,True
moveit:RRTConnect,empty,6,1,42,True,0.02156209500390105,0.02156209500390105,,24,6.142597354812803,0.9709349823903075,7.508532191744589e-11,1247.7238950967012,inf,True
moveit:RRTConnect,empty,6,2,42,True,0.023170790998847224,0.023170790998847224,,24,6.142597354812801,0.9709349823903074,1.483386579949192e-10,1247.7238950966903,inf,True
moveit:RRTConnect,empty,7,0,42,True,0.01821750300587155,0.01821750300587155,,20,6.539193582730879,1.9848695987543645,7.787168124162379e-14,1249.984103179305,inf,True
moveit:RRTConnect,empty,7,1,42,True,0.018139543011784554,0.018139543011784554,,20,6.539193582730878,1.9848695987543645,9.090641641636495e-12,1249.9841031793108,inf,True
moveit:RRTConnect,empty,7,2,42,True,0.02468427900748793,0.02468427900748793,,20,6.539193582730879,1.9848695987543652,1.5251224307736063e-11,1249.9841031793192,inf,True
moveit:RRTConnect,empty,8,0,42,True,0.008712356007890776,0.008712356007890776,,23,5.545140581464356,0.9096454046501492,2.065782163138493e-13,664.0275057989045,inf,True
moveit:RRTConnect,empty,8,1,42,True,0.016954432998318225,0.016954432998318225,,23,5.545140581464356,0.9096454046501492,3.5092302199605753e-14,664.02750579889,inf,True
moveit:RRTConnect,empty,8,2,42,True,0.00940398799139075,0.00940398799139075,,23,5.545140581464355,0.909645404650149,9.061985483007452e-14,664.0275057989014,inf,True
moveit:RRTConnect,empty,9,0,42,True,0.01313189799839165,0.01313189799839165,,25,7.530669704580591,2.5529921479026143,1.0824722181628603e-12,1472.8471170413402,inf,True
moveit:RRTConnect,empty,9,1,42,True,0.023561701993457973,0.023561701993457973,,25,7.530669704580591,2.5529921479026143,3.117374711282498e-12,1472.8471170413384,inf,True
moveit:RRTConnect,empty,9,2,42,True,0.022534003990585916,0.022534003990585916,,25,7.530669704580591,2.5529921479026143,1.0824722181628603e-12,1472.8471170413402,inf,True
moveit:RRTstar,empty,0,0,42,True,10.005722071000491,10.005722071000491,,24,6.5463218617353425,3.343389557103062,4.4844282271556203e-13,1094.5708109212226,inf,True
moveit:RRTstar,empty,0,1,42,True,10.005484576991876,10.005484576991876,,24,6.546321861735341,3.3433895571030625,6.042198044094063e-13,1094.5708109212155,inf,True
moveit:RRTstar,empty,0,2,42,True,10.005037181006628,10.005037181006628,,24,6.546321861735342,3.3433895571030625,2.2648976324103401e-13,1094.5708109212123,inf,True
moveit:RRTstar,empty,10,0,42,True,10.003830380999716,10.003830380999716,,20,5.391728585146048,1.5304688400142608,1.9069046424829765e-14,913.8192824947068,inf,True
moveit:RRTstar,empty,10,1,42,True,10.004786569988937,10.004786569988937,,20,5.391728585146047,1.5304688400142608,5.4081505936005106e-14,913.8192824947296,inf,True
moveit:RRTstar,empty,10,2,42,True,10.003650423997897,10.003650423997897,,20,5.391728585146049,1.5304688400142612,1.4794469949571054e-13,913.8192824947224,inf,True
moveit:RRTstar,empty,11,0,42,True,10.003752598000574,10.003752598000574,,17,4.465703187550338,0.7163146364144707,7.311744303127202e-14,1323.1311539493208,inf,True
moveit:RRTstar,empty,11,1,42,True,10.004227886005538,10.004227886005538,,17,4.465703187550338,0.7163146364144706,3.478139854068034e-13,1323.131153949322,inf,True
moveit:RRTstar,empty,11,2,42,True,10.004196793001029,10.004196793001029,,17,4.465703187550338,0.7163146364144704,1.172280819644911e-13,1323.1311539493154,inf,True
moveit:RRTstar,empty,12,0,42,True,10.002924935004557,10.002924935004557,,13,2.9768585238846903,1.0817917513301623,3.6918814891458117e-13,2327.281119684653,inf,True
moveit:RRTstar,empty,12,1,42,True,10.003787688008742,10.003787688008742,,13,2.9768585238846907,1.0817917513301627,3.336361050063764e-13,2327.281119684647,inf,True
moveit:RRTstar,empty,12,2,42,True,10.00334358199325,10.00334358199325,,13,2.9768585238846907,1.0817917513301625,2.7370490718408153e-13,2327.2811196846565,inf,True
moveit:RRTstar,empty,13,0,42,True,10.004877579995082,10.004877579995082,,18,5.2283316283601,2.0221576136946378,1.989335110010271e-13,1877.9784043055113,inf,True
moveit:RRTstar,empty,13,1,42,True,10.013988708000397,10.013988708000397,,18,5.2283316283601,2.0221576136946373,5.536882667422377e-15,1877.9784043054449,inf,True
moveit:RRTstar,empty,13,2,42,True,10.004576556995744,10.004576556995744,,18,5.2283316283601,2.022157613694637,4.364620368172314e-14,1877.9784043055129,inf,True
moveit:RRTstar,empty,14,0,42,True,10.004094994001207,10.004094994001207,,20,4.949062423831928,2.2007466833814844,6.478336156603652e-13,842.3927984705329,inf,True
moveit:RRTstar,empty,14,1,42,True,10.00362681900151,10.00362681900151,,20,4.949062423831929,2.2007466833814844,2.4865971123700093e-13,842.3927984705313,inf,True
moveit:RRTstar,empty,14,2,42,True,10.004521916009253,10.004521916009253,,20,4.949062423831928,2.200746683381484,2.652339838561393e-13,842.3927984705316,inf,True
moveit:RRTstar,empty,15,0,42,True,10.003509645001031,10.003509645001031,,19,4.179630575884646,0.7629515339566623,2.0909761458440086e-13,599.9026371388256,inf,True
moveit:RRTstar,empty,15,1,42,True,10.003678623004816,10.003678623004816,,19,4.179630575884645,0.7629515339566623,2.7481170666349476e-12,599.9026371388231,inf,True
moveit:RRTstar,empty,15,2,42,True,10.004395252995891,10.004395252995891,,19,4.179630575884646,0.7629515339566623,2.785463096957013e-13,599.9026371388256,inf,True
moveit:RRTstar,empty,16,0,42,True,10.012512145010987,10.012512145010987,,22,9.641828889267801,3.6923910844876757,1.6929116472765973e-13,2127.641690597332,inf,True
moveit:RRTstar,empty,16,1,42,True,10.013422941003228,10.013422941003228,,22,9.6418288892678,3.6923910844876744,4.834224171235762e-14,2127.641690597301,inf,True
moveit:RRTstar,empty,16,2,42,True,10.012254357003258,10.012254357003258,,22,9.6418288892678,3.6923910844876744,4.1077913368781546e-14,2127.641690597304,inf,True
moveit:RRTstar,empty,17,0,42,True,10.009872024995275,10.009872024995275,,24,8.171820298620787,3.4760662761690506,1.898781520903413e-12,1616.592569643479,inf,True
moveit:RRTstar,empty,17,1,42,True,10.00896768498933,10.00896768498933,,24,8.171820298620787,3.4760662761690506,2.1710248652449845e-12,1616.5925696434301,inf,True
moveit:RRTstar,empty,17,2,42,True,10.009811280993745,10.009811280993745,,24,8.171820298620787,3.476066276169051,1.6897405782744232e-13,1616.5925696434795,inf,True
moveit:RRTstar,empty,18,0,42,True,10.003726677998202,10.003726677998202,,20,4.421189011961069,0.35247861487405274,8.459167105721683e-14,518.7418392915514,inf,True
moveit:RRTstar,empty,18,1,42,True,10.005758472005255,10.005758472005255,,20,4.421189011961068,0.35247861487405285,8.428935214521147e-12,518.7418392915283,inf,True
moveit:RRTstar,empty,18,2,42,True,10.003380431007827,10.003380431007827,,20,4.4211890119610695,0.35247861487405296,3.871625737025558e-14,518.7418392915946,inf,True
